"ObjectName","Type","File1","File2"
"AttentionGenerationLog","TABLE","Attention.AttentionGenerationTables.sql","dbo.AttentionGenerationLog.sql"
"AttentionInferenceResults","TABLE","Attention.AttentionGenerationTables.sql","dbo.AttentionInferenceResults.sql"
"TransformerInferenceResults","TABLE","Attention.AttentionGenerationTables.sql","dbo.TransformerInferenceResults.sql"
"graph","TABLE","graph.AtomGraphEdges.sql","graph.AtomGraphNodes.sql"
"provenance","TABLE","provenance.AtomConcepts.sql","provenance.AtomGraphEdges.sql"
"provenance","TABLE","provenance.AtomConcepts.sql","provenance.ConceptEvolution.sql"
"provenance","TABLE","provenance.AtomConcepts.sql","provenance.Concepts.sql"
"provenance","TABLE","provenance.AtomConcepts.sql","provenance.GenerationStreams.sql"
"provenance","TABLE","provenance.AtomConcepts.sql","provenance.ModelVersionHistory.sql"
"OperationProvenance","TABLE","dbo.OperationProvenance.sql","Provenance.ProvenanceTrackingTables.sql"
"ProvenanceValidationResults","TABLE","dbo.ProvenanceValidationResults.sql","Provenance.ProvenanceTrackingTables.sql"
"ProvenanceAuditResults","TABLE","dbo.ProvenanceAuditResults.sql","Provenance.ProvenanceTrackingTables.sql"
"ReasoningChains","TABLE","dbo.ReasoningChains.sql","Reasoning.ReasoningFrameworkTables.sql"
"SelfConsistencyResults","TABLE","dbo.SelfConsistencyResults.sql","Reasoning.ReasoningFrameworkTables.sql"
"MultiPathReasoning","TABLE","dbo.MultiPathReasoning.sql","Reasoning.ReasoningFrameworkTables.sql"
"ref","TABLE","ref.Status_History.sql","ref.Status.sql"
"StreamOrchestrationResults","TABLE","dbo.StreamOrchestrationResults.sql","Stream.StreamOrchestrationTables.sql"
"StreamFusionResults","TABLE","dbo.StreamFusionResults.sql","Stream.StreamOrchestrationTables.sql"
"EventGenerationResults","TABLE","dbo.EventGenerationResults.sql","Stream.StreamOrchestrationTables.sql"
"EventAtoms","TABLE","dbo.EventAtoms.sql","Stream.StreamOrchestrationTables.sql"
"TensorAtomCoefficients_History","TABLE","dbo.TensorAtomCoefficients_History.sql","TensorAtomCoefficients_Temporal.sql"
"WeightSnapshot","TABLE","dbo.WeightSnapshot.sql","Admin.WeightRollback.sql"
"sp_InsertBillingUsageRecord_Native","PROCEDURE","Billing.InsertUsageRecord_Native.sql","dbo.sp_InsertBillingUsageRecord_Native.sql"
"sp_ListWeightSnapshots","PROCEDURE","Admin.WeightRollback.sql","dbo.sp_ListWeightSnapshots.sql"
"sp_RestoreWeightSnapshot","PROCEDURE","Admin.WeightRollback.sql","dbo.sp_RestoreWeightSnapshot.sql"
"sp_RollbackWeightsToTimestamp","PROCEDURE","Admin.WeightRollback.sql","dbo.sp_RollbackWeightsToTimestamp.sql"
"provenance","FUNCTION","provenance.AtomConcepts.sql","provenance.clr_AppendAtomicStreamSegment.sql"
"provenance","FUNCTION","provenance.AtomConcepts.sql","provenance.clr_CreateAtomicStream.sql"
"provenance","FUNCTION","provenance.AtomConcepts.sql","provenance.clr_EnumerateAtomicStreamSegments.sql"
"ref","FUNCTION","ref.Status_History.sql","ref.GetStatusId.sql"
