"Category","FileName","Path","Lines","CreateStatements","ObjectsDefined","ReferencesCount","ReferencedObjects","ForeignKeys","FKTargets","CallsCount","CalledObjects","HasComments","HasGO","HasTenantId","HasJSON","HasSpatial","HasTemporal","IsInMemory","HasCLR"
"Indexes","dbo.AtomRelation.ST_Coordinates.sql","D:\Repositories\Hartonomous\src\Hartonomous.Database\Indexes\dbo.AtomRelation.ST_Coordinates.sql","3","0","","1","AtomRelation","0","","1","AtomRelation","False","False","False","False","False","False","False","False"
"Indexes","dbo.AtomRelation.ST_RelationType_Importance.sql","D:\Repositories\Hartonomous\src\Hartonomous.Database\Indexes\dbo.AtomRelation.ST_RelationType_Importance.sql","3","0","","1","AtomRelation","0","","1","AtomRelation","False","False","False","False","False","False","False","False"
"Indexes","dbo.AtomRelation.ST_Spatial_Distribution.sql","D:\Repositories\Hartonomous\src\Hartonomous.Database\Indexes\dbo.AtomRelation.ST_Spatial_Distribution.sql","3","0","","1","AtomRelation","0","","1","AtomRelation","False","False","False","False","False","False","False","False"
"Indexes","dbo.EventHubCheckpoints.IX_EventHubCheckpoints_Owner.sql","D:\Repositories\Hartonomous\src\Hartonomous.Database\Indexes\dbo.EventHubCheckpoints.IX_EventHubCheckpoints_Owner.sql","3","1","IX_EventHubCheckpoints_Owner","1","EventHubCheckpoints","0","","1","EventHubCheckpoints","False","False","False","False","False","False","False","False"
"Indexes","dbo.EventHubCheckpoints.UX_EventHubCheckpoints_Composite.sql","D:\Repositories\Hartonomous\src\Hartonomous.Database\Indexes\dbo.EventHubCheckpoints.UX_EventHubCheckpoints_Composite.sql","2","0","","1","EventHubCheckpoints","0","","1","EventHubCheckpoints","False","False","False","False","False","False","False","False"
"Indexes","dbo.SemanticFeatures.ix_semantic_sentiment.sql","D:\Repositories\Hartonomous\src\Hartonomous.Database\Indexes\dbo.SemanticFeatures.ix_semantic_sentiment.sql","1","1","ix_semantic_sentiment","1","SemanticFeatures","0","","1","SemanticFeatures","False","False","False","False","False","False","False","False"
"Indexes","dbo.SemanticFeatures.ix_semantic_temporal.sql","D:\Repositories\Hartonomous\src\Hartonomous.Database\Indexes\dbo.SemanticFeatures.ix_semantic_temporal.sql","1","1","ix_semantic_temporal","1","SemanticFeatures","0","","1","SemanticFeatures","False","False","False","False","False","False","False","False"
"Indexes","dbo.SemanticFeatures.ix_semantic_topic_business.sql","D:\Repositories\Hartonomous\src\Hartonomous.Database\Indexes\dbo.SemanticFeatures.ix_semantic_topic_business.sql","1","1","ix_semantic_topic_business","1","SemanticFeatures","0","","1","SemanticFeatures","False","False","False","False","False","False","False","False"
"Indexes","dbo.SemanticFeatures.ix_semantic_topic_creative.sql","D:\Repositories\Hartonomous\src\Hartonomous.Database\Indexes\dbo.SemanticFeatures.ix_semantic_topic_creative.sql","1","1","ix_semantic_topic_creative","1","SemanticFeatures","0","","1","SemanticFeatures","False","False","False","False","False","False","False","False"
"Indexes","dbo.SemanticFeatures.ix_semantic_topic_scientific.sql","D:\Repositories\Hartonomous\src\Hartonomous.Database\Indexes\dbo.SemanticFeatures.ix_semantic_topic_scientific.sql","1","1","ix_semantic_topic_scientific","1","SemanticFeatures","0","","1","SemanticFeatures","False","False","False","False","False","False","False","False"
